Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
mm,All other sections,prob_vto,0.1332,0.6003,0.888,-0.4671,-0.526,medium
mm,All other sections,all_to,3.9776,5.8758,3.5196,-1.8983,-0.5393,medium
mm,All other sections,it,2.5834,4.2466,3.0695,-1.6632,-0.5419,medium
mm,All other sections,be_state,0.6138,1.4823,1.4965,-0.8685,-0.5804,medium
mm,All other sections,occurv,1.5902,2.9205,2.2848,-1.3303,-0.5822,medium
mm,All other sections,wrlengh,5.2611,5.4327,0.2915,-0.1716,-0.5888,medium
mm,All other sections,perfects,2.9021,5.3317,3.5611,-2.4295,-0.6822,medium
mm,All other sections,pred_adj,3.4785,5.7435,3.2189,-2.265,-0.7037,medium
mm,All other sections,conjncts,4.253,6.9787,3.6783,-2.7257,-0.741,medium
mm,All other sections,adj_attr,61.1291,75.7914,18.7021,-14.6622,-0.784,medium
mm,All other sections,fact_vth,0.8347,2.4222,2.0167,-1.5875,-0.7872,medium
mm,All other sections,pos_mod,2.8003,5.9391,3.691,-3.1388,-0.8504,large
mm,All other sections,all_vth,3.4578,6.6026,3.5918,-3.1449,-0.8756,large
mm,All other sections,alladj,82.9818,100.7956,20.256,-17.8138,-0.8794,large
mm,All other sections,allmodal,4.3016,8.8061,4.9708,-4.5045,-0.9062,large
mm,All other sections,all_th,4.199,8.437,4.404,-4.238,-0.9623,large
mm,All other sections,advs,22.3829,31.3825,9.308,-8.9997,-0.9669,large
mm,All other sections,vcmp,1.9707,5.2729,3.2096,-3.3021,-1.0288,large
mm,All other sections,pres,41.2796,59.3237,17.3258,-18.0441,-1.0415,large
