Section_Target,Section_Ref,Column,Mean_Target,Mean_Ref,Pooled_Std,MeanDiff,CohenD,Effect_Size
rd,All other sections,actv,15.5133,16.9138,6.3191,-1.4005,-0.2216,small
rd,All other sections,tccncrt,5.2814,6.8515,6.5057,-1.57,-0.2413,small
rd,All other sections,o_and,7.3835,8.5204,4.6138,-1.1369,-0.2464,small
rd,All other sections,adj_attr,68.8181,73.8995,19.5712,-5.0814,-0.2596,small
rd,All other sections,inf,8.7615,10.1942,5.0423,-1.4327,-0.2841,small
rd,All other sections,topicj,4.904,7.0906,7.5475,-2.1866,-0.2897,small
rd,All other sections,perfects,3.8671,5.156,3.6594,-1.2889,-0.3522,small
rd,All other sections,n,332.1871,345.6415,32.6502,-13.4544,-0.4121,small
rd,All other sections,wrlengh,5.3026,5.4322,0.2944,-0.1296,-0.44,small
rd,All other sections,agls_psv,10.1548,13.214,6.9103,-3.0592,-0.4427,small
rd,All other sections,allpasv,15.3623,19.0457,8.2204,-3.6833,-0.4481,small
rd,All other sections,ttr,29.3373,31.4775,2.7569,-2.1402,-0.7763,medium
